product_id,sku,product_name,supplier_id,product_doc
PROD-0001,IMPL-A21,Hip Implant Set,SUP-001,"### Hip Implant Set (IMPL-A21) ###
Supplier: SUP-001
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): Zimmer Biotech | Escalation SOP (ZB-SUP-2041)
Tier 1 (<24h delay): logistics@zimmerbio.com
Tier 2 (temp >8°C or delay >24h): qa@zimmerbio.com; director.supply@zimmerbio.com
Tier 3 (critical): vp.ops@zimmerbio.com | +1-312-555-0100
SLA: Acknowledge 1h; CAPA 24h."
PROD-0002,STENT-C13,Cardio Stent Kit,SUP-002,"### Cardio Stent Kit (STENT-C13) ###
Supplier: SUP-002
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): MedPro Devices | SLA (MP-SLA-007)
On-time ≥98%; zero tolerance outside 2–8°C
Escalation: shipping@medpro.com → operations@medpro.com → ceo.office@medpro.com
If weather delay >12h, reroute."
PROD-0003,CATH-B08,Balloon Catheter,SUP-003,"### Balloon Catheter (CATH-B08) ###
Supplier: SUP-003
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): Ortho Dynamics | OD-QA-115
L1: warehouse.alerts@orthodynamics.com (≤2h)
L2: dist.ops@orthodynamics.com (≤4h)
L3: cmo.office@orthodynamics.com (≤8h)
Temp excursion → isolate lot; notify QA."
PROD-0004,PATCH-D02,Hernia Patch,SUP-004,"### Hernia Patch (PATCH-D02) ###
Supplier: SUP-004
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): CardioNova | CN-COLD-003
Triggers: delay >24h, ambient >10°C, severe weather
Chain: supply@cardionova.com → qa@cardionova.com → compliance@cardionova.com"
PROD-0005,VALVE-E11,Aortic Valve,SUP-005,"### Aortic Valve (VALVE-E11) ###
Supplier: SUP-005
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): ValveX Labs | VX-QMS-221
Minor (<1°C) log; Moderate (1–3°C) notify QA; Critical (>3°C) isolate + escalate
Contacts: qa.supervisor@valvex.com; compliance@valvex.com"
PROD-0006,IMPL-A21,Hip Implant Set,SUP-009,"### Hip Implant Set (IMPL-A21) ###
Supplier: SUP-009
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): OrthoCore | Supplier Playbook
Notify ops@orthocore.com; if delay >24h or temp >8°C, escalate to qa@orthocore.com"
PROD-0007,STENT-C13,Cardio Stent Kit,SUP-010,"### Cardio Stent Kit (STENT-C13) ###
Supplier: SUP-010
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): MedAxis | Escalation Matrix
L1: shipping@medaxis.io; L2: ops@medaxis.io; L3: exec@medaxis.io"
PROD-0008,VALVE-E11,Aortic Valve,SUP-005,"### Aortic Valve (VALVE-E11) ###
Supplier: SUP-005
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): ValveX Labs | VX-QMS-221
Minor (<1°C) log; Moderate (1–3°C) notify QA; Critical (>3°C) isolate + escalate
Contacts: qa.supervisor@valvex.com; compliance@valvex.com"
PROD-0009,CATH-B08,Balloon Catheter,SUP-003,"### Balloon Catheter (CATH-B08) ###
Supplier: SUP-003
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): Ortho Dynamics | OD-QA-115
L1: warehouse.alerts@orthodynamics.com (≤2h)
L2: dist.ops@orthodynamics.com (≤4h)
L3: cmo.office@orthodynamics.com (≤8h)
Temp excursion → isolate lot; notify QA."
PROD-0010,IMPL-A21,Hip Implant Set,SUP-001,"### Hip Implant Set (IMPL-A21) ###
Supplier: SUP-001
Storage: Maintain 2–8°C (≈36–46°F). Record temperatures at handoff.
Escalation Policy (embedded): Zimmer Biotech | Escalation SOP (ZB-SUP-2041)
Tier 1 (<24h delay): logistics@zimmerbio.com
Tier 2 (temp >8°C or delay >24h): qa@zimmerbio.com; director.supply@zimmerbio.com
Tier 3 (critical): vp.ops@zimmerbio.com | +1-312-555-0100
SLA: Acknowledge 1h; CAPA 24h."
